rowid,rowid2,hour.range,urban,Weekday.Non-Rain.Construction,Weekday.Non-Rain.Non-Construction,Weekday.Rain.Construction,Weekday.Rain.Non-Construction,Weekend.Non-Rain.Construction,Weekend.Non-Rain.Non-Construction,Weekend.Rain.Construction,Weekend.Rain.Non-Construction
2,2902,Afternoon Rush,Rural,29,45,43,44,35,48,50,49.65
2,2903,Afternoon Rush,Rural,30,45,43,45,35,48,50,50
2,2904,Afternoon Rush,Rural,30,45,43,45,35,48,50,50
2,2905,Afternoon Rush,Rural,31,46,44,45,36.88,48,50,50
2,2906,Afternoon Rush,Rural,32,46,44.51,45,37,48,50,50
2,2907,Afternoon Rush,Rural,32,46,45,46,38,48,50,50
2,2908,Afternoon Rush,Rural,33,47,46,46,38,48,50,50
2,2909,Afternoon Rush,Rural,34,47,46,46,39,48,50,50
2,2910,Afternoon Rush,Rural,35,47,47,46,39,49,50,50
2,2911,Afternoon Rush,Rural,35,47,47,47,40,49,50,50
2,2912,Afternoon Rush,Rural,36,47,47,47,40,49,50,50
2,2913,Afternoon Rush,Rural,37,48,47,47,41,49,50,50
2,2914,Afternoon Rush,Rural,38,48,48,47,42,49,50,50
2,2915,Afternoon Rush,Rural,39,48,48,47,42,49,50,50
2,2916,Afternoon Rush,Rural,40,48,48,48,43,49,50,50
2,2917,Afternoon Rush,Rural,40,48,48,48,43,50,50,50
2,2918,Afternoon Rush,Rural,41,49,48,48,43,50,50,50
2,2919,Afternoon Rush,Rural,42,49,49,48,45,50,50,50
2,2920,Afternoon Rush,Rural,43,49,49,48,45,50,50,50
2,2921,Afternoon Rush,Rural,43,49,49,49,46,50,50,50
2,2922,Afternoon Rush,Rural,45,50,50,49,47,50,50,50
2,2923,Afternoon Rush,Rural,46,50,50,49,48,50,50,50
2,2924,Afternoon Rush,Rural,47,50,50,50,48,50,50,50
2,2925,Afternoon Rush,Rural,48,50,50,50,48,50,50,50
2,2926,Afternoon Rush,Rural,48,50,50,50,49,50,50,50
2,2927,Afternoon Rush,Rural,49,50,50,50,49.74,50,50,50
2,2928,Afternoon Rush,Rural,50,50,50,50,50,50,50,50
2,2929,Afternoon Rush,Rural,50,50,50,50,50,50,50,50
3,2324,Afternoon Rush,Indianapolis,NA,0,NA,6,NA,12,NA,14
3,2325,Afternoon Rush,Indianapolis,NA,0,NA,12,NA,18.05,NA,18.78
3,2326,Afternoon Rush,Indianapolis,NA,7,NA,14,NA,21.1,NA,24.56
3,2327,Afternoon Rush,Indianapolis,NA,9,NA,16,NA,22,NA,26.34
3,2328,Afternoon Rush,Indianapolis,NA,11,NA,16,NA,23,NA,28
3,2329,Afternoon Rush,Indianapolis,NA,12,NA,17,NA,24,NA,29
3,2330,Afternoon Rush,Indianapolis,NA,14,NA,18,NA,24,NA,30.68
3,2331,Afternoon Rush,Indianapolis,NA,15,NA,19,NA,25,NA,33.46
3,2332,Afternoon Rush,Indianapolis,NA,16,NA,19,NA,27,NA,35
3,2333,Afternoon Rush,Indianapolis,NA,16,NA,20,NA,30,NA,37
3,2334,Afternoon Rush,Indianapolis,NA,17,NA,20,NA,30.5,NA,37
3,2335,Afternoon Rush,Indianapolis,NA,18,NA,21,NA,33.55,NA,39
3,2336,Afternoon Rush,Indianapolis,NA,18.12,NA,21,NA,35,NA,41
3,2337,Afternoon Rush,Indianapolis,NA,19,NA,21,NA,36,NA,43
3,2338,Afternoon Rush,Indianapolis,NA,20,NA,22,NA,37,NA,43
3,2339,Afternoon Rush,Indianapolis,NA,20,NA,22,NA,41,NA,44
3,2340,Afternoon Rush,Indianapolis,NA,21,NA,22,NA,42,NA,44
3,2341,Afternoon Rush,Indianapolis,NA,22,NA,23,NA,42.85,NA,45
3,2342,Afternoon Rush,Indianapolis,NA,22,NA,24,NA,44,NA,45
3,2343,Afternoon Rush,Indianapolis,NA,23,NA,24,NA,47,NA,45
3,2344,Afternoon Rush,Indianapolis,NA,23,NA,24,NA,47,NA,45
3,2345,Afternoon Rush,Indianapolis,NA,24,NA,25,NA,48,NA,46
3,2346,Afternoon Rush,Indianapolis,NA,24,NA,25,NA,48,NA,46
3,2347,Afternoon Rush,Indianapolis,NA,25,NA,26,NA,48,NA,46
3,2348,Afternoon Rush,Indianapolis,NA,25,NA,26,NA,48,NA,46
