"xdid","position","lon","lat","direction"
1450821708,4,-87.30698,41.59004,"S"
1363490812,171,-86.74051,40.31436,"S"
1363492166,135,-86.93572,40.56056,"S"
1363472078,227,-86.2715,39.86088,"N"
1363475940,451,-85.76175,38.3905,"S"
1363484664,263,-86.51115,40.10457,"N"
1363485032,285,-86.65803,40.26466,"N"
1363617528,462,-85.75335,38.31966,"S"
1346443678,128,-86.98201,40.60862,"S"
1363458124,185,-86.09828,39.67239,"N"
1363520828,464,-85.75318,38.30044,"S"
1363604106,408,-85.81845,38.74028,"S"
1363616910,270,-86.14327,39.74898,"S"
1363430281,317,-86.85338,40.47454,"N"
1363580107,154,-86.83333,40.43304,"S"
1450780329,409,-87.27737,41.17483,"N"
1346387123,117,-87.05644,40.68589,"S"
1363444553,255,-86.48709,40.04427,"N"
1363458089,222,-86.40151,39.98594,"S"
1363476141,452,-85.75943,38.38244,"S"
1363490963,177,-86.68801,40.2801,"S"
1363518507,398,-85.81931,38.80255,"S"
1363608819,280,-86.10546,39.69285,"S"
1450797259,9,-87.31117,41.55628,"S"
1450832337,45,-87.30092,41.28043,"S"
1363484915,242,-86.3764,39.96584,"N"
1363485015,286,-86.67112,40.27288,"N"
1363498769,207,-86.49501,40.06472,"S"
1363533715,67,-85.81894,38.79694,"N"
1363551763,243,-86.26277,39.84957,"S"
1450792529,78,-87.25714,40.98509,"S"
138360227,130,-85.95297,39.27062,"N"
139460875,247,-86.41374,39.99625,"N"
1346387071,113,-87.07854,40.71734,"S"
1363423066,198,-86.13736,39.74086,"N"
1363466811,403,-85.83204,38.76713,"S"
1363533702,68,-85.81899,38.80423,"N"
1363533902,69,-85.81907,38.81152,"N"
1363608799,283,-86.09953,39.67447,"S"
1363609099,338,-85.95362,39.26291,"S"
1450838551,42,-87.30143,41.302,"S"
1363484234,221,-86.2341,39.83024,"N"
1363533091,34,-85.77438,38.5298,"N"
1363590851,400,-85.82507,38.78457,"S"
1450843063,29,-87.32153,41.40699,"S"
1363421787,160,-86.79603,40.39556,"S"
1363609398,332,-85.96282,39.30461,"S"
140036050,96,-85.8608,39.00315,"N"
1363485058,283,-86.64308,40.25045,"N"
1363485626,313,-86.8417,40.44371,"N"
1363543318,244,-86.25642,39.84232,"S"
1450832398,57,-87.27229,41.16395,"S"
1363485370,276,-86.58424,40.20566,"N"
1363490507,375,-85.84359,38.97297,"S"
1363563718,409,-85.81707,38.73805,"S"
1363577947,135,-85.96194,39.30505,"N"
1363584874,214,-86.16986,39.81179,"N"
1363628887,227,-86.37102,39.96121,"S"
1450789658,394,-87.27029,41.04518,"N"
1363484927,241,-86.36954,39.96028,"N"
1363600743,143,-85.94238,39.36642,"N"
1450780391,413,-87.29042,41.21122,"N"
1363600853,151,-85.97674,39.43062,"N"
1363484629,248,-86.42021,40.00195,"N"
1363550845,304,-86.78797,40.38574,"N"
1363477973,210,-86.1664,39.78804,"N"
1363641564,3,-85.75358,38.28349,"N"
1363533325,18,-85.76157,38.39105,"N"
1363609201,348,-85.95877,39.18081,"S"
1363641021,469,-85.74764,38.27224,"S"
1450832233,44,-87.30107,41.28606,"S"
1363533300,20,-85.76439,38.40128,"N"
1363571072,450,-85.76281,38.39416,"S"
1363599280,271,-86.1377,39.74218,"S"
1363609176,350,-85.95848,39.16701,"S"
1363614749,429,-85.77896,38.57754,"S"
1363430152,13,-85.75419,38.35057,"N"
1363458085,188,-86.10515,39.69266,"N"
1363482728,214,-86.45485,40.02851,"S"
1363484768,235,-86.33114,39.92153,"N"
1363486540,179,-86.07412,39.64421,"N"
1363498772,139,-85.94177,39.33003,"N"
1363518492,399,-85.82051,38.7891,"S"
1363547708,455,-85.75498,38.36117,"S"
1450789673,393,-87.2702,41.03649,"N"
1450832357,52,-87.2907,41.2111,"S"
1363436049,390,-85.81026,38.87032,"S"
1363534017,109,-85.94815,39.10444,"N"
1363598511,277,-86.11544,39.71385,"S"
1363609257,344,-85.95589,39.21217,"S"
1450759457,24,-87.32166,41.45081,"S"
1450789523,387,-87.25667,40.98495,"N"
1363484531,257,-86.49371,40.05894,"N"
1363540401,190,-86.57713,40.20031,"S"
1450832307,47,-87.29565,41.25798,"S"
1363609307,301,-86.03873,39.5462,"S"
1450759557,25,-87.32162,41.44083,"S"
1363609808,351,-85.95844,39.15962,"S"
1450789824,434,-87.32414,41.39299,"N"
1363614788,426,-85.78161,38.60885,"S"
1363477123,246,-86.23923,39.8354,"S"
1363533561,80,-85.81351,38.89508,"N"
1363435493,387,-85.81359,38.89478,"S"
1363533161,30,-85.77127,38.49289,"N"
1363540681,185,-86.62101,40.23139,"S"
1363563677,412,-85.79932,38.71435,"S"
139122267,423,-85.78399,38.63649,"S"
1363474801,201,-86.51487,40.11619,"S"
1363477241,331,-85.95929,39.30782,"S"
1363514827,177,-86.07406,39.6292,"N"
1363533211,56,-85.80518,38.72175,"N"
138324812,216,-86.44372,40.02257,"S"
1363511959,158,-86.01485,39.48719,"N"
1363558276,212,-86.47385,40.03519,"S"
1363614775,427,-85.77926,38.59565,"S"
1363608748,291,-86.07429,39.61941,"S"
1363609484,304,-86.02627,39.52523,"S"
1346388992,353,-87.08366,40.72423,"N"
1363458136,184,-86.09158,39.66711,"N"
1363485344,278,-86.60181,40.21788,"N"
1363563692,411,-85.80578,38.72199,"S"
1363599356,310,-86.01286,39.479,"S"
1363630608,40,-85.77866,38.58118,"N"
1450887468,458,-87.30346,41.56602,"N"
1363498755,140,-85.94192,39.33918,"N"
1363583280,323,-86.88816,40.50671,"N"
1363609852,362,-85.92546,39.07092,"S"
1450804608,87,-87.21662,40.91895,"S"
1363485000,287,-86.67679,40.27538,"N"
1363608772,289,-86.07434,39.63571,"S"
1363630632,38,-85.77868,38.56241,"N"
1346388848,357,-87.1104,40.75417,"N"
1363485067,298,-86.76478,40.34292,"N"
1363609568,366,-85.9014,39.0367,"S"
1363641020,466,-85.75706,38.28891,"S"
1363583964,258,-86.16665,39.78804,"S"
1363609468,305,-86.02378,39.51783,"S"
1363436035,391,-85.81009,38.86201,"S"
1363458127,219,-86.42443,40.0054,"S"
1363484767,237,-86.34333,39.93617,"N"
1363485328,279,-86.61059,40.224,"N"
1363577748,195,-86.13455,39.72707,"N"
1450758900,427,-87.30723,41.33621,"N"
1363502751,144,-86.87668,40.49937,"S"
